N,Pop_Prob,Off_Prob,Tournament_Size,Value,Run_Gens
100,2.0,1.55,11,"(100, -232)",16
100,1.775,2.0,8,"(100, -232)",17
100,2.0,2.0,2,"(100, -232)",17
100,1.3250000000000002,1.3250000000000002,2,"(100, -232)",21
100,1.3250000000000002,1.1,2,"(100, -232)",29
100,1.55,1.55,2,"(100, -233)",23
100,1.55,1.3250000000000002,11,"(100, -234)",16
100,1.1,2.0,2,"(100, -234)",18
100,1.1,1.775,11,"(100, -235)",16
100,1.775,1.3250000000000002,8,"(100, -235)",16
100,1.1,1.775,14,"(100, -235)",18
100,1.3250000000000002,1.3250000000000002,11,"(100, -236)",16
100,1.1,2.0,8,"(100, -237)",17
100,1.55,2.0,2,"(100, -237)",19
100,2.0,1.55,2,"(100, -237)",19
100,1.1,1.3250000000000002,2,"(100, -237)",21
100,1.3250000000000002,1.775,8,"(100, -238)",18
100,1.1,1.3250000000000002,11,"(100, -239)",16
100,2.0,1.3250000000000002,8,"(100, -239)",19
100,2.0,1.55,8,"(100, -239)",19
100,1.55,1.1,11,"(100, -240)",16
100,1.3250000000000002,1.3250000000000002,8,"(100, -240)",19
100,1.1,1.55,2,"(100, -240)",30
100,1.3250000000000002,1.55,11,"(100, -242)",17
100,1.3250000000000002,2.0,2,"(100, -242)",22
100,1.775,1.3250000000000002,11,"(100, -243)",16
100,2.0,1.3250000000000002,11,"(100, -244)",18
100,1.1,1.3250000000000002,5,"(100, -245)",16
100,1.1,1.55,8,"(100, -245)",17
100,1.775,2.0,11,"(100, -246)",17
100,1.3250000000000002,1.1,8,"(100, -256)",18
100,1.55,1.55,11,"(100, -257)",15
500,1.3250000000000002,1.775,11,"(500, -1388)",18
500,2.0,2.0,11,"(500, -1440)",28
500,1.55,1.55,2,"(500, -1476)",34
500,1.3250000000000002,1.1,5,"(500, -1480)",27
500,1.55,1.55,5,"(500, -1494)",30
500,1.775,1.775,11,"(500, -1513)",19
500,1.775,1.55,14,"(500, -1518)",20
500,2.0,1.55,5,"(500, -1518)",26
500,1.55,1.775,11,"(500, -1519)",20
500,1.1,1.775,8,"(500, -1519)",23
500,2.0,2.0,2,"(500, -1527)",23
500,1.775,1.3250000000000002,11,"(500, -1531)",16
500,2.0,1.1,11,"(500, -1532)",20
500,2.0,1.775,11,"(500, -1535)",21
500,2.0,2.0,8,"(500, -1535)",21
500,1.1,1.775,14,"(500, -1543)",19
500,2.0,1.775,8,"(500, -1543)",20
500,1.55,2.0,8,"(500, -1543)",22
500,1.775,1.55,5,"(500, -1543)",23
500,1.55,1.775,14,"(500, -1545)",19
500,2.0,2.0,5,"(500, -1546)",23
500,1.55,1.1,11,"(500, -1547)",19
500,2.0,1.775,2,"(500, -1547)",36
500,1.3250000000000002,1.55,2,"(500, -1549)",32
500,1.1,1.3250000000000002,2,"(500, -1553)",29
500,1.3250000000000002,1.3250000000000002,5,"(500, -1554)",26
500,1.55,1.1,2,"(500, -1554)",34
500,1.775,1.3250000000000002,8,"(500, -1556)",21
500,1.3250000000000002,1.1,8,"(500, -1556)",22
500,1.775,1.775,14,"(500, -1557)",18
500,1.1,1.1,2,"(500, -1559)",34
500,1.775,1.1,8,"(500, -1560)",19
500,1.3250000000000002,2.0,2,"(500, -1568)",30
500,2.0,1.55,14,"(500, -1573)",19
500,1.3250000000000002,1.775,14,"(500, -1574)",19
500,1.55,2.0,14,"(500, -1576)",17
500,1.55,1.55,11,"(500, -1587)",22
500,1.1,1.55,5,"(500, -1588)",22
500,1.775,1.775,5,"(500, -1588)",22
500,1.775,2.0,5,"(500, -1590)",20
500,1.775,1.775,8,"(500, -1591)",20
500,1.3250000000000002,1.3250000000000002,8,"(500, -1591)",32
500,1.775,1.55,8,"(500, -1596)",21
500,1.775,2.0,14,"(500, -1597)",20
500,2.0,1.1,2,"(500, -1597)",61
500,1.3250000000000002,2.0,14,"(500, -1600)",17
500,1.55,1.3250000000000002,14,"(500, -1601)",18
500,1.1,1.55,14,"(500, -1603)",20
500,1.1,1.3250000000000002,14,"(500, -1604)",19
500,2.0,1.55,2,"(500, -1604)",38
500,1.775,1.3250000000000002,2,"(500, -1605)",31
500,1.3250000000000002,1.3250000000000002,14,"(500, -1606)",19
500,1.3250000000000002,1.1,11,"(500, -1606)",24
500,1.3250000000000002,2.0,11,"(500, -1607)",19
500,1.3250000000000002,1.1,14,"(500, -1608)",18
500,1.3250000000000002,1.775,2,"(500, -1609)",41
500,1.55,1.775,2,"(500, -1611)",25
500,2.0,2.0,14,"(500, -1612)",22
500,1.775,1.3250000000000002,5,"(500, -1612)",27
500,1.775,1.55,2,"(500, -1614)",26
500,1.55,1.3250000000000002,5,"(500, -1615)",19
500,1.3250000000000002,1.775,8,"(500, -1615)",21
500,1.1,1.3250000000000002,11,"(500, -1616)",21
500,2.0,1.3250000000000002,2,"(500, -1617)",32
500,2.0,1.775,5,"(500, -1618)",27
500,1.3250000000000002,1.775,5,"(500, -1619)",28
500,1.55,1.55,8,"(500, -1620)",18
500,2.0,1.1,14,"(500, -1621)",17
500,2.0,1.3250000000000002,5,"(500, -1622)",18
500,2.0,1.3250000000000002,11,"(500, -1623)",20
500,1.1,2.0,8,"(500, -1625)",20
500,1.55,2.0,5,"(500, -1626)",23
500,1.775,1.775,2,"(500, -1626)",31
500,2.0,1.55,11,"(500, -1628)",21
500,1.775,1.1,2,"(500, -1630)",47
500,2.0,1.3250000000000002,14,"(500, -1631)",19
500,1.55,1.3250000000000002,11,"(500, -1632)",17
500,1.55,1.775,5,"(500, -1635)",22
500,1.1,1.1,14,"(500, -1636)",19
500,1.55,1.1,8,"(500, -1639)",21
500,1.1,1.55,8,"(500, -1640)",18
500,1.775,1.55,11,"(500, -1641)",17
500,1.775,1.3250000000000002,14,"(500, -1643)",18
500,1.775,2.0,11,"(500, -1646)",19
500,1.1,1.775,11,"(500, -1650)",20
500,1.775,1.1,11,"(500, -1650)",20
500,2.0,1.1,5,"(500, -1650)",26
500,1.1,2.0,11,"(500, -1651)",19
500,1.3250000000000002,2.0,8,"(500, -1652)",17
500,2.0,1.775,14,"(500, -1654)",18
500,1.1,2.0,2,"(500, -1654)",19
500,1.1,1.775,5,"(500, -1656)",22
500,1.3250000000000002,1.55,14,"(500, -1658)",18
500,2.0,1.1,8,"(500, -1659)",20
500,1.3250000000000002,1.55,5,"(500, -1660)",27
500,1.55,1.1,14,"(500, -1663)",18
500,1.55,2.0,11,"(500, -1670)",19
500,1.3250000000000002,2.0,5,"(500, -1672)",21
500,1.1,1.55,2,"(500, -1672)",32
500,1.1,1.1,8,"(500, -1673)",21
500,2.0,1.55,8,"(500, -1675)",17
500,2.0,1.3250000000000002,8,"(500, -1675)",21
500,1.3250000000000002,1.3250000000000002,11,"(500, -1676)",20
500,1.1,2.0,14,"(500, -1678)",16
500,1.775,2.0,2,"(500, -1679)",25
500,1.1,1.3250000000000002,5,"(500, -1681)",35
500,1.3250000000000002,1.3250000000000002,2,"(500, -1684)",29
500,1.55,1.775,8,"(500, -1686)",21
500,1.3250000000000002,1.1,2,"(500, -1691)",34
500,1.1,1.55,11,"(500, -1692)",17
500,1.775,1.1,14,"(500, -1694)",20
500,1.775,1.1,5,"(500, -1695)",32
500,1.55,2.0,2,"(500, -1696)",23
500,1.3250000000000002,1.55,8,"(500, -1698)",19
500,1.3250000000000002,1.55,11,"(500, -1700)",20
500,1.1,1.3250000000000002,8,"(500, -1702)",17
